# V0=0.0, s=0.5 
#  x1  x2  pair dist
#   
   -5.950000E+00     2.800000E+00     6.719180E-10
   -5.950000E+00     2.850000E+00     6.057590E-10
   -5.950000E+00     2.900000E+00     5.415649E-10
   -5.950000E+00     2.950000E+00     4.801797E-10
   -5.950000E+00     3.000000E+00     4.222771E-10
   -5.950000E+00     3.050000E+00     3.683586E-10
   -5.950000E+00     3.100000E+00     3.187596E-10
   -5.950000E+00     3.150000E+00     2.736621E-10
   -5.950000E+00     3.200000E+00     2.331118E-10
   -5.950000E+00     3.250000E+00     1.970384E-10
   -5.950000E+00     3.300000E+00     1.652768E-10
   -5.950000E+00     3.350000E+00     1.375893E-10
   -5.950000E+00     3.400000E+00     1.136853E-10
   -5.950000E+00     3.450000E+00     9.324071E-11
   -5.950000E+00     3.500000E+00     7.591393E-11
   -5.950000E+00     3.550000E+00     6.135982E-11
   -5.950000E+00     3.600000E+00     4.924069E-11
   -5.950000E+00     3.650000E+00     3.923478E-11
   -5.950000E+00     3.700000E+00     3.104229E-11
   -5.950000E+00     3.750000E+00     2.438927E-11
   -5.950000E+00     3.800000E+00     1.902974E-11
   -5.950000E+00     3.850000E+00     1.474621E-11
   -5.950000E+00     3.900000E+00     1.134922E-11
   -5.950000E+00     3.950000E+00     8.675861E-12
   -5.950000E+00     4.000000E+00     6.587826E-12
   -5.950000E+00     4.050000E+00     4.969079E-12
   -5.950000E+00     4.100000E+00     3.723353E-12
   -5.950000E+00     4.150000E+00     2.771639E-12
   -5.950000E+00     4.200000E+00     2.049755E-12
   -5.950000E+00     4.250000E+00     1.506080E-12
   -5.950000E+00     4.300000E+00     1.099492E-12
   -5.950000E+00     4.350000E+00     7.975377E-13
   -5.950000E+00     4.400000E+00     5.748320E-13
   -5.950000E+00     4.450000E+00     4.116961E-13
   -5.950000E+00     4.500000E+00     2.930039E-13
   -5.950000E+00     4.550000E+00     2.072265E-13
   -5.950000E+00     4.600000E+00     1.456484E-13
   -5.950000E+00     4.650000E+00     1.017345E-13
   -5.950000E+00     4.700000E+00     7.062285E-14
   -5.950000E+00     4.750000E+00     4.872470E-14
   -5.950000E+00     4.800000E+00     3.341118E-14
   -5.950000E+00     4.850000E+00     2.277113E-14
   -5.950000E+00     4.900000E+00     1.542547E-14
   -5.950000E+00     4.950000E+00     1.038637E-14
   -5.950000E+00     5.000000E+00     6.951383E-15
   -5.950000E+00     5.050000E+00     4.624560E-15
   -5.950000E+00     5.100000E+00     3.058236E-15
   -5.950000E+00     5.150000E+00     2.010399E-15
   -5.950000E+00     5.200000E+00     1.313751E-15
   -5.950000E+00     5.250000E+00     8.534379E-16
   -5.950000E+00     5.300000E+00     5.511471E-16
   -5.950000E+00     5.350000E+00     3.538407E-16
   -5.950000E+00     5.400000E+00     2.258399E-16
   -5.950000E+00     5.450000E+00     1.433025E-16
   -5.950000E+00     5.500000E+00     9.040121E-17
   -5.950000E+00     5.550000E+00     5.669823E-17
   -5.950000E+00     5.600000E+00     3.535464E-17
   -5.950000E+00     5.650000E+00     2.191854E-17
   -5.950000E+00     5.700000E+00     1.351051E-17
   -5.950000E+00     5.750000E+00     8.280053E-18
   -5.950000E+00     5.800000E+00     5.045472E-18
   -5.950000E+00     5.850000E+00     3.056919E-18
   -5.950000E+00     5.900000E+00     1.841557E-18
   -5.950000E+00     5.950000E+00     1.103091E-18
#   
   -5.900000E+00    -6.000000E+00     1.248758E-22
   -5.900000E+00    -5.950000E+00     5.308003E-23
   -5.900000E+00    -5.900000E+00     0.000000E+00
   -5.900000E+00    -5.850000E+00     1.509000E-22
   -5.900000E+00    -5.800000E+00     1.009219E-21
   -5.900000E+00    -5.750000E+00     3.775457E-21
   -5.900000E+00    -5.700000E+00     1.109709E-20
   -5.900000E+00    -5.650000E+00     2.850668E-20
   -5.900000E+00    -5.600000E+00     6.710844E-20
   -5.900000E+00    -5.550000E+00     1.484855E-19
   -5.900000E+00    -5.500000E+00     3.134881E-19
   -5.900000E+00    -5.450000E+00     6.376959E-19
   -5.900000E+00    -5.400000E+00     1.258186E-18
   -5.900000E+00    -5.350000E+00     2.419186E-18
   -5.900000E+00    -5.300000E+00     4.548856E-18
   -5.900000E+00    -5.250000E+00     8.386733E-18
   -5.900000E+00    -5.200000E+00     1.519262E-17
   -5.900000E+00    -5.150000E+00     2.708490E-17
   -5.900000E+00    -5.100000E+00     4.758210E-17
   -5.900000E+00    -5.050000E+00     8.246016E-17
   -5.900000E+00    -5.000000E+00     1.410946E-16
   -5.900000E+00    -4.950000E+00     2.385397E-16
   -5.900000E+00    -4.900000E+00     3.987153E-16
   -5.900000E+00    -4.850000E+00     6.592410E-16
   -5.900000E+00    -4.800000E+00     1.078695E-15
   -5.900000E+00    -4.750000E+00     1.747404E-15
   -5.900000E+00    -4.700000E+00     2.803317E-15
   -5.900000E+00    -4.650000E+00     4.455129E-15
   -5.900000E+00    -4.600000E+00     7.015631E-15
   -5.900000E+00    -4.550000E+00     1.094931E-14
   -5.900000E+00    -4.500000E+00     1.693962E-14
   -5.900000E+00    -4.450000E+00     2.598310E-14
   -5.900000E+00    -4.400000E+00     3.951962E-14
   -5.900000E+00    -4.350000E+00     5.961090E-14
   -5.900000E+00    -4.300000E+00     8.918242E-14
   -5.900000E+00    -4.250000E+00     1.323479E-13
   -5.900000E+00    -4.200000E+00     1.948397E-13
   -5.900000E+00    -4.150000E+00     2.845727E-13
   -5.900000E+00    -4.100000E+00     4.123761E-13
   -5.900000E+00    -4.050000E+00     5.929294E-13
   -5.900000E+00    -4.000000E+00     8.459461E-13
